p(the | <s>) = 0.04022112085398399
p(compunction | with) = 0.004986400725294651
p(at | compunction) = 0.006485849056603773
p(that | at) = 0.009831460674157303
p(moment | that) = 0.004270186335403727
p(for | moment) = 0.006373117033603708
p(the | for) = 0.058852140077821004
p(part | the) = 0.004072924747866563
p(he | part) = 0.006228765571913929
p(playing | was) = 0.004110612855007474
p(but | playing) = 0.006485849056603773
p(i | but) = 0.019468186134852798
p(know | i) = 0.01124520021941854
p(that | know) = 0.022453450164293533
p(i | that) = 0.03920807453416149
p(never | i) = 0.0030170049369171695
p(felt | never) = 0.006373117033603708
p(more | felt) = 0.006447831184056271
p(heartily | more) = 0.006159014557670772
p(ashamed | heartily) = 0.006447831184056271
p(of | ashamed) = 0.006485849056603773
p(myself | of) = 0.003102086858432036
p(in | myself) = 0.017454954954954954
p(my | in) = 0.03120713305898491
p(life | my) = 0.009146341463414634
p(than | life) = 0.006373117033603708
p(when | than) = 0.006159014557670772
p(i | when) = 0.026617954070981206
p(saw | i) = 0.01398793198025233
p(the | saw) = 0.006300114547537227
p(beautiful | the) = 0.002133436772692009
p(creature | beautiful) = 0.006485849056603773
p(against | creature) = 0.006485849056603773
p(whom | against) = 0.0063364055299539165
p(i | whom) = 0.023348519362186782
p(was | i) = 0.04415798134942403
p(conspiring | was) = 0.004110612855007474
p(or | conspiring) = 0.006485849056603773
p(the | or) = 0.0058949624866023575
p(grace | the) = 0.002133436772692009
p(and | grace) = 0.006485849056603773
p(kindliness | and) = 0.002984264785675529
p(with | kindliness) = 0.006485849056603773
p(which | with) = 0.009519492293744334
p(she | which) = 0.009831460674157303
p(waited | she) = 0.004811898512685914
p(upon | waited) = 0.006485849056603773
p(the | upon) = 0.042948038176033924
p(injured | the) = 0.004072924747866563
p(man | injured) = 0.0123094958968347
p(</s> | man) = 0.026898734177215184
p(my | <s>) = 0.005909264201296225
p(mistress | my) = 0.004790940766550522
p(told | mistress) = 0.006447831184056271
p(me | told) = 0.00641025641025641
p(you | that) = 0.035326086956521736
p(were | you) = 0.004110612855007474
p(likely | were) = 0.005771248688352571
p(to | likely) = 0.012237762237762236
p(call | to) = 0.005905511811023622
p(</s> | call) = 0.006228765571913929
p(indeed | <s>) = 0.004003049942813572
p(i | indeed) = 0.006159014557670772
p(should | i) = 0.0222161272627537
p(have | should) = 0.006090808416389811
p(thought | have) = 0.005032021957913998
p(a | thought) = 0.00641025641025641
p(little | a) = 0.01176133103843947
p(more | little) = 0.006159014557670772
p(</s> | more) = 0.011758118701007838
p(your | <s>) = 0.011627906976744184
p(majesty | your) = 0.07565130260521041
p(will | majesty) = 0.005991285403050109
p(of | will) = 0.005681818181818182
p(course | of) = 0.01156232374506486
p(stay | course) = 0.006373117033603708
p(in | stay) = 0.006447831184056271
p(london | in) = 0.007201646090534979
p(for | london) = 0.00641025641025641
p(present | the) = 0.002133436772692009
p(certainly | present) = 0.006373117033603708
p(</s> | certainly) = 0.006373117033603708
p(it | <s>) = 0.061189477697293174
p(must | it) = 0.014012303485987695
p(be | must) = 0.03909691629955946
p(in | be) = 0.014650283553875236
p(her | in) = 0.007201646090534979
p(own | her) = 0.01515151515151515
p(house | own) = 0.011375947995666305
p(but | house) = 0.006090808416389811
p(it | but) = 0.009971509971509971
p(has | it) = 0.0037593984962406017
p(twice | has) = 0.005926724137931034
p(been | twice) = 0.0063364055299539165
p(burgled | been) = 0.005652620760534429
p(pshaw | burgled) = 0.006485849056603773
p(</s> | pshaw) = 0.006485849056603773
p(and | <s>) = 0.03259626382005337
p(that | and) = 0.019262072707542047
p(was | that) = 0.004270186335403727
p(how | was) = 0.004110612855007474
p(a | how) = 0.005958829902491874
p(great | a) = 0.00889271371199082
p(scandal | great) = 0.006373117033603708
p(threatened | scandal) = 0.00641025641025641
p(to | threatened) = 0.006485849056603773
p(affect | to) = 0.003093363329583802
p(the | affect) = 0.006485849056603773
p(kingdom | the) = 0.002133436772692009
p(of | kingdom) = 0.006447831184056271
p(bohemia | of) = 0.014382402707275801
p(and | bohemia) = 0.006228765571913929
p(how | and) = 0.002984264785675529
p(the | how) = 0.005958829902491874
p(best | the) = 0.004072924747866563
p(plans | best) = 0.006373117033603708
p(of | plans) = 0.006447831184056271
p(mr | of) = 0.003102086858432036
p(sherlock | mr) = 0.01765375854214123
p(holmes | sherlock) = 0.05123873873873873
p(were | holmes) = 0.005350194552529183
p(beaten | were) = 0.005771248688352571
p(by | beaten) = 0.006485849056603773
p(a | by) = 0.016012396694214875
p(woman | a) = 0.014629948364888122
p(s | woman) = 0.011627906976744186
p(wit | s) = 0.005926724137931034
p(</s> | wit) = 0.006485849056603773
p(holmes | <s>) = 0.00972169271826153
p(rushed | holmes) = 0.005350194552529183
p(at | rushed) = 0.006300114547537227
p(bell | the) = 0.00795190069821567
p(pull | bell) = 0.012096774193548387
p(tore | pull) = 0.00641025641025641
p(back | tore) = 0.00641025641025641
p(a | back) = 0.006264236902050114
p(small | a) = 0.006024096385542168
p(sliding | small) = 0.006373117033603708
p(shutter | sliding) = 0.006447831184056271
p(and | shutter) = 0.006485849056603773
p(plunging | and) = 0.002984264785675529
p(in | plunging) = 0.006485849056603773
p(his | in) = 0.020919067215363508
p(hand | his) = 0.012469831053901849
p(pulled | hand) = 0.006300114547537227
p(out | pulled) = 0.006447831184056271
p(a | out) = 0.005832449628844114
p(photograph | a) = 0.006024096385542168
p(and | photograph) = 0.011314655172413791
p(a | and) = 0.03825284861638632
p(letter | a) = 0.003155479059093517
p(</s> | letter) = 0.006447831184056271
p(understand | i) = 0.0030170049369171695
p(that | understand) = 0.012096774193548387
p(this | that) = 0.004270186335403727
p(gentleman | this) = 0.01062753036437247
p(your | gentleman) = 0.006228765571913929
p(friend | your) = 0.005511022044088176
p(is | friend) = 0.006264236902050114
p(a | is) = 0.03813914501257334
p(man | a) = 0.020367183017785426
p(of | man) = 0.016350210970464133
p(honour | of) = 0.003102086858432036
p(and | honour) = 0.00641025641025641
p(discretion | and) = 0.002984264785675529
p(whom | discretion) = 0.006485849056603773
p(may | i) = 0.008502468458584751
p(trust | may) = 0.00580168776371308
p(with | trust) = 0.00641025641025641
p(a | with) = 0.07298277425203989
p(matter | a) = 0.006024096385542168
p(of | matter) = 0.011824324324324323
p(most | the) = 0.00795190069821567
p(extreme | most) = 0.006264236902050114
p(importance | extreme) = 0.006485849056603773
p(</s> | importance) = 0.012166859791425259
p(his | <s>) = 0.00972169271826153
p(expression | his) = 0.004424778761061947
p(his | expression) = 0.006485849056603773
p(manner | his) = 0.008447304907481898
p(his | manner) = 0.006447831184056271
p(very | his) = 0.004424778761061947
p(soul | very) = 0.011075949367088606
p(seemed | soul) = 0.0063364055299539165
p(to | seemed) = 0.0123094958968347
p(vary | to) = 0.003093363329583802
p(with | vary) = 0.006485849056603773
p(every | with) = 0.004986400725294651
p(fresh | every) = 0.00641025641025641
p(part | fresh) = 0.006485849056603773
p(that | part) = 0.006228765571913929
p(assumed | he) = 0.004407051282051282
p(</s> | assumed) = 0.006485849056603773
p(he | <s>) = 0.02687762104460541
p(in | was) = 0.007847533632286996
p(about | house) = 0.006090808416389811
p(half | about) = 0.006264236902050114
p(an | half) = 0.0063364055299539165
p(hour | an) = 0.005741127348643006
p(and | hour) = 0.012237762237762236
p(i | and) = 0.03553988062940857
p(could | i) = 0.01124520021941854
p(catch | could) = 0.006024096385542168
p(glimpses | catch) = 0.006485849056603773
p(of | glimpses) = 0.006485849056603773
p(him | of) = 0.005922165820642978
p(in | him) = 0.016179540709812108
p(windows | the) = 0.002133436772692009
p(of | windows) = 0.006447831184056271
p(sitting | the) = 0.00795190069821567
p(room | sitting) = 0.0347380410022779
p(pacing | room) = 0.005958829902491874
p(up | pacing) = 0.006485849056603773
p(and | up) = 0.026617954070981206
p(down | and) = 0.013836136733586541
p(talking | down) = 0.0058949624866023575
p(excitedly | talking) = 0.006485849056603773
p(and | excitedly) = 0.006485849056603773
p(waving | and) = 0.002984264785675529
p(his | waving) = 0.006485849056603773
p(arms | his) = 0.004424778761061947
p(</s> | arms) = 0.006485849056603773
p(remarkable | <s>) = 0.0020968356843309188
p(as | remarkable) = 0.006485849056603773
p(being | as) = 0.005198487712665407
p(the | being) = 0.006373117033603708
p(scene | the) = 0.006012412723041117
p(of | scene) = 0.018065268065268064
p(death | the) = 0.002133436772692009
p(of | death) = 0.006485849056603773
p(wallenstein | of) = 0.003102086858432036
p(and | wallenstein) = 0.006485849056603773
p(for | and) = 0.0056972327726532825
p(its | for) = 0.005350194552529183
p(numerous | its) = 0.0063364055299539165
p(glass | numerous) = 0.006485849056603773
p(factories | glass) = 0.006447831184056271
p(and | factories) = 0.006485849056603773
p(paper | and) = 0.002984264785675529
p(mills | paper) = 0.0063364055299539165
p(ha | mills) = 0.006485849056603773
p(ha | ha) = 0.00641025641025641
p(my | ha) = 0.00641025641025641
p(boy | my) = 0.004790940766550522
p(what | boy) = 0.006485849056603773
p(do | what) = 0.01609553478712357
p(you | do) = 0.027627302275189593
p(make | you) = 0.007847533632286996
p(of | make) = 0.012027491408934707
p(that | of) = 0.01156232374506486
p(his | that) = 0.004270186335403727
p(eyes | his) = 0.02051488334674175
p(sparkled | eyes) = 0.006228765571913929
p(and | sparkled) = 0.006485849056603773
p(he | and) = 0.002984264785675529
p(sent | he) = 0.004407051282051282
p(up | sent) = 0.00641025641025641
p(a | up) = 0.005741127348643006
p(blue | great) = 0.006373117033603708
p(triumphant | blue) = 0.006447831184056271
p(cloud | triumphant) = 0.006485849056603773
p(from | cloud) = 0.006485849056603773
p(his | from) = 0.024926686217008793
p(cigarette | his) = 0.004424778761061947
p(</s> | cigarette) = 0.006447831184056271
p(we | <s>) = 0.007815478459778879
p(may | we) = 0.005595116988809766
p(take | may) = 0.00580168776371308
p(it | take) = 0.01765375854214123
p(then | it) = 0.0037593984962406017
p(that | then) = 0.005595116988809766
p(she | that) = 0.031444099378881984
p(does | she) = 0.017935258092738403
p(not | does) = 0.017857142857142856
p(carry | not) = 0.00510204081632653
p(it | carry) = 0.006447831184056271
p(about | it) = 0.007177033492822967
p(with | about) = 0.01195899772209567
p(where | her) = 0.005376344086021505
p(then | where) = 0.006264236902050114
p(her | then) = 0.005595116988809766
p(banker | her) = 0.005376344086021505
p(or | banker) = 0.006485849056603773
p(her | or) = 0.0058949624866023575
p(lawyer | her) = 0.005376344086021505
p(</s> | lawyer) = 0.012237762237762236
p(is | it) = 0.06869446343130553
p(peculiarly | is) = 0.004610226320201173
p(strong | peculiarly) = 0.006485849056603773
p(and | strong) = 0.00641025641025641
p(stiff | and) = 0.002984264785675529
p(peculiar | stiff) = 0.006485849056603773
p(that | peculiar) = 0.006447831184056271
p(is | that) = 0.01979813664596273
p(the | is) = 0.025565800502933778
p(very | the) = 0.009891388673390223
p(word | very) = 0.00580168776371308
p(said | word) = 0.006373117033603708
p(holmes | said) = 0.046286876907426236
p(</s> | holmes) = 0.039396887159533066
p(mademoiselle | and) = 0.002984264785675529
p(s | mademoiselle) = 0.006485849056603773
p(address | s) = 0.005926724137931034
p(he | address) = 0.006300114547537227
p(asked | he) = 0.008413461538461538
p(</s> | asked) = 0.023482245131729664
p(you | <s>) = 0.03069004956157072
p(have | you) = 0.041479820627802685
p(but | have) = 0.005032021957913998
p(to | but) = 0.009971509971509971
p(name | to) = 0.005905511811023622
p(it | name) = 0.006373117033603708
p(this | it) = 0.0037593984962406017
p(photograph | this) = 0.005566801619433198
p(the | photograph) = 0.005926724137931034
p(king | the) = 0.025407292474786656
p(stared | king) = 0.006024096385542168
p(at | stared) = 0.006485849056603773
p(him | at) = 0.005149812734082397
p(amazement | in) = 0.0037722908093278463
p(</s> | amazement) = 0.006485849056603773
p(in | <s>) = 0.007815478459778879
p(two | in) = 0.0037722908093278463
p(hours | two) = 0.006193693693693694
p(we | hours) = 0.006485849056603773
p(must | we) = 0.010681586978636826
p(on | be) = 0.00992438563327032
p(the | on) = 0.06282450674974038
p(action | of) = 0.003102086858432036
p(</s> | action) = 0.006485849056603773
p(would | you) = 0.004110612855007474
p(certainly | would) = 0.0112540192926045
p(have | certainly) = 0.006373117033603708
p(been | have) = 0.04620311070448307
p(burned | been) = 0.005652620760534429
p(had | burned) = 0.006485849056603773
p(you | had) = 0.005009107468123861
p(lived | you) = 0.004110612855007474
p(a | lived) = 0.006485849056603773
p(few | a) = 0.006024096385542168
p(centuries | few) = 0.00641025641025641
p(ago | centuries) = 0.006485849056603773
p(</s> | ago) = 0.012237762237762236
p(a | <s>) = 0.013534121235226838
p(entered | man) = 0.00580168776371308
p(who | entered) = 0.006485849056603773
p(could | who) = 0.005711318795430945
p(hardly | could) = 0.006024096385542168
p(have | hardly) = 0.00641025641025641
p(less | been) = 0.005652620760534429
p(than | less) = 0.012166859791425259
p(six | than) = 0.006159014557670772
p(feet | six) = 0.006373117033603708
p(six | feet) = 0.006485849056603773
p(inches | six) = 0.006373117033603708
p(in | inches) = 0.006485849056603773
p(height | in) = 0.0037722908093278463
p(with | height) = 0.006485849056603773
p(the | with) = 0.03671804170444242
p(chest | the) = 0.002133436772692009
p(and | chest) = 0.006485849056603773
p(limbs | and) = 0.002984264785675529
p(of | limbs) = 0.006485849056603773
p(a | of) = 0.02848279751833051
p(hercules | a) = 0.003155479059093517
p(</s> | hercules) = 0.006485849056603773
p(as | <s>) = 0.007815478459778879
p(to | as) = 0.02410207939508506
p(the | to) = 0.05089988751406074
p(photograph | the) = 0.021528316524437548
p(your | photograph) = 0.005926724137931034
p(client | your) = 0.010521042084168337
p(may | client) = 0.006300114547537227
p(rest | may) = 0.00580168776371308
p(in | rest) = 0.006485849056603773
p(peace | in) = 0.0037722908093278463
p(</s> | peace) = 0.006485849056603773
p(name | the) = 0.002133436772692009
p(is | name) = 0.006373117033603708
p(no | is) = 0.008801341156747694
p(doubt | no) = 0.011563876651982379
p(familiar | doubt) = 0.006373117033603708
p(to | familiar) = 0.006485849056603773
p(you | to) = 0.01152980877390326
p(kindly | you) = 0.004110612855007474
p(look | kindly) = 0.006447831184056271
p(her | look) = 0.006264236902050114
p(up | her) = 0.005376344086021505
p(in | up) = 0.010960334029227557
p(index | my) = 0.004790940766550522
p(doctor | index) = 0.006485849056603773
p(murmured | doctor) = 0.0063364055299539165
p(holmes | murmured) = 0.018065268065268064
p(without | holmes) = 0.005350194552529183
p(opening | without) = 0.006159014557670772
p(his | opening) = 0.006485849056603773
p(</s> | eyes) = 0.01189127972819932
p(do | you) = 0.004110612855007474
p(her | know) = 0.006024096385542168
p(but | her) = 0.005376344086021505
p(has | she) = 0.022309711286089235
p(a | has) = 0.005926724137931034
p(soul | a) = 0.006024096385542168
p(of | soul) = 0.012096774193548387
p(steel | of) = 0.003102086858432036
p(</s> | steel) = 0.006485849056603773
p(just | was) = 0.007847533632286996
p(balancing | just) = 0.006124721603563474
p(whether | balancing) = 0.006447831184056271
p(i | whether) = 0.01796060254924681
p(run | should) = 0.006090808416389811
p(for | run) = 0.006485849056603773
p(it | for) = 0.005350194552529183
p(or | it) = 0.0037593984962406017
p(whether | or) = 0.0058949624866023575
p(perch | should) = 0.006090808416389811
p(behind | perch) = 0.006485849056603773
p(her | behind) = 0.006447831184056271
p(landau | her) = 0.005376344086021505
p(when | landau) = 0.00641025641025641
p(a | when) = 0.010960334029227557
p(cab | a) = 0.003155479059093517
p(came | cab) = 0.00641025641025641
p(through | came) = 0.006373117033603708
p(the | through) = 0.018065268065268064
p(her | is) = 0.004610226320201173
p(carriage | her) = 0.005376344086021505
p(</s> | carriage) = 0.006447831184056271
p(there | <s>) = 0.0192527640106748
p(will | there) = 0.01062753036437247
p(call | will) = 0.005681818181818182
p(upon | call) = 0.006228765571913929
p(you | upon) = 0.005832449628844114
p(to | you) = 0.004110612855007474
p(night | to) = 0.003093363329583802
p(at | night) = 0.006264236902050114
p(a | at) = 0.005149812734082397
p(quarter | a) = 0.006024096385542168
p(to | quarter) = 0.006447831184056271
p(eight | to) = 0.003093363329583802
p(it | clock) = 0.0063364055299539165
p(said | it) = 0.007177033492822967
p(a | said) = 0.010681586978636826
p(gentleman | a) = 0.00889271371199082
p(who | gentleman) = 0.006228765571913929
p(desires | who) = 0.005711318795430945
p(to | desires) = 0.006485849056603773
p(consult | to) = 0.003093363329583802
p(you | consult) = 0.006485849056603773
p(upon | you) = 0.004110612855007474
p(a | upon) = 0.016436903499469777
p(deepest | very) = 0.00580168776371308
p(moment | deepest) = 0.006485849056603773
p(</s> | moment) = 0.006373117033603708
p(slept | i) = 0.0030170049369171695
p(at | slept) = 0.006485849056603773
p(baker | at) = 0.009831460674157303
p(street | baker) = 0.02937788018433179
p(that | street) = 0.005991285403050109
p(night | that) = 0.004270186335403727
p(and | night) = 0.01765375854214123
p(we | and) = 0.0056972327726532825
p(were | we) = 0.010681586978636826
p(engaged | were) = 0.005771248688352571
p(upon | engaged) = 0.006447831184056271
p(our | upon) = 0.005832449628844114
p(toast | our) = 0.006124721603563474
p(and | toast) = 0.006485849056603773
p(coffee | and) = 0.002984264785675529
p(in | coffee) = 0.006485849056603773
p(when | morning) = 0.0063364055299539165
p(the | when) = 0.016179540709812108
p(of | king) = 0.022453450164293533
p(rushed | bohemia) = 0.006228765571913929
p(into | rushed) = 0.012027491408934707
p(room | the) = 0.011830876648564777
p(</s> | room) = 0.016793066088840736
p(over | little) = 0.006159014557670772
p(precipitance | over) = 0.006193693693693694
p(may | precipitance) = 0.006485849056603773
p(ruin | may) = 0.00580168776371308
p(all | ruin) = 0.006447831184056271
p(and | all) = 0.005741127348643006
p(now | and) = 0.002984264785675529
p(i | now) = 0.016976998904709748
p(asked | i) = 0.00575973669775096
p(will | it) = 0.0037593984962406017
p(end | will) = 0.005681818181818182
p(in | end) = 0.0063364055299539165
p(being | my) = 0.004790940766550522
p(conveyed | being) = 0.006373117033603708
p(into | conveyed) = 0.006485849056603773
p(</s> | house) = 0.02270210409745293
p(shall | i) = 0.01398793198025233
p(drive | shall) = 0.006228765571913929
p(out | drive) = 0.006447831184056271
p(in | out) = 0.021739130434782605
p(park | the) = 0.002133436772692009
p(at | park) = 0.006485849056603773
p(five | at) = 0.005149812734082397
p(as | five) = 0.006300114547537227
p(usual | as) = 0.005198487712665407
p(she | usual) = 0.006485849056603773
p(said | she) = 0.004811898512685914
p(as | said) = 0.010681586978636826
p(she | as) = 0.00992438563327032
p(left | she) = 0.009186351706036745
p(him | left) = 0.006264236902050114
p(</s> | him) = 0.03183716075156576
p(here | and) = 0.002984264785675529
p(he | here) = 0.006447831184056271
p(comes | he) = 0.004407051282051282
p(if | comes) = 0.006447831184056271
p(i | if) = 0.011017838405036725
p(am | i) = 0.03867251782775644
p(not | am) = 0.011437908496732025
p(mistaken | not) = 0.00510204081632653
p(to | mistaken) = 0.006485849056603773
p(resolve | to) = 0.003093363329583802
p(all | resolve) = 0.006485849056603773
p(our | all) = 0.005741127348643006
p(doubts | our) = 0.006124721603563474
p(as | doubts) = 0.006485849056603773
p(he | as) = 0.014650283553875236
p(spoke | he) = 0.008413461538461538
p(there | spoke) = 0.00641025641025641
p(was | there) = 0.03593117408906882
p(the | was) = 0.030269058295964123
p(sharp | the) = 0.002133436772692009
p(sound | sharp) = 0.006447831184056271
p(of | sound) = 0.006447831184056271
p(horses | of) = 0.003102086858432036
p(hoofs | horses) = 0.006447831184056271
p(and | hoofs) = 0.006485849056603773
p(grating | and) = 0.002984264785675529
p(wheels | grating) = 0.006485849056603773
p(against | wheels) = 0.00641025641025641
p(curb | the) = 0.002133436772692009
p(followed | curb) = 0.006485849056603773
p(by | followed) = 0.012237762237762236
p(sharp | a) = 0.003155479059093517
p(pull | sharp) = 0.006447831184056271
p(at | pull) = 0.00641025641025641
p(</s> | bell) = 0.012096774193548387
p(now | <s>) = 0.011627906976744184
p(wonder | i) = 0.0030170049369171695
p(who | wonder) = 0.006485849056603773
p(the | who) = 0.005711318795430945
p(deuce | the) = 0.002133436772692009
p(that | deuce) = 0.006485849056603773
p(could | that) = 0.004270186335403727
p(have | could) = 0.016976998904709748
p(iii | been) = 0.005652620760534429
p(</s> | iii) = 0.006485849056603773
p(risen | had) = 0.005009107468123861
p(out | risen) = 0.006485849056603773
p(of | out) = 0.016436903499469777
p(his | of) = 0.04258319232938522
p(drug | his) = 0.004424778761061947
p(created | drug) = 0.006447831184056271
p(dreams | created) = 0.006485849056603773
p(and | dreams) = 0.006485849056603773
p(was | and) = 0.0056972327726532825
p(hot | was) = 0.004110612855007474
p(upon | hot) = 0.006485849056603773
p(scent | the) = 0.002133436772692009
p(of | scent) = 0.006485849056603773
p(some | of) = 0.005922165820642978
p(new | some) = 0.006090808416389811
p(problem | new) = 0.006447831184056271
p(</s> | problem) = 0.006485849056603773
p(then | <s>) = 0.00972169271826153
p(i | then) = 0.031027466937945062
p(rather | i) = 0.0030170049369171695
p(imprudently | rather) = 0.006373117033603708
p(wished | imprudently) = 0.006485849056603773
p(you | wished) = 0.006485849056603773
p(good | you) = 0.004110612855007474
p(night | good) = 0.02257709251101321
p(started | and) = 0.002984264785675529
p(for | started) = 0.006447831184056271
p(temple | the) = 0.006012412723041117
p(to | temple) = 0.006373117033603708
p(see | to) = 0.01152980877390326
p(my | see) = 0.0173572228443449
p(husband | my) = 0.004790940766550522
p(</s> | husband) = 0.00641025641025641
p(has | <s>) = 0.0020968356843309188
p(only | has) = 0.005926724137931034
p(one | only) = 0.012027491408934707
p(male | one) = 0.00580168776371308
p(visitor | male) = 0.006447831184056271
p(but | visitor) = 0.0063364055299539165
p(a | but) = 0.009971509971509971
p(good | a) = 0.006024096385542168
p(deal | good) = 0.00605726872246696
p(of | deal) = 0.006485849056603773
p(read | <s>) = 0.0020968356843309188
p(it | read) = 0.012237762237762236
p(aloud | it) = 0.0037593984962406017
p(the | aloud) = 0.006485849056603773
p(note | the) = 0.006012412723041117
p(was | note) = 0.006228765571913929
p(undated | was) = 0.004110612855007474
p(and | undated) = 0.006485849056603773
p(without | and) = 0.002984264785675529
p(either | without) = 0.006159014557670772
p(signature | either) = 0.00641025641025641
p(or | signature) = 0.006485849056603773
p(address | or) = 0.0058949624866023575
p(</s> | address) = 0.012027491408934707
p(how | <s>) = 0.0020968356843309188
p(do | how) = 0.011375947995666305
p(i | do) = 0.011375947995666305
p(getting | been) = 0.005652620760534429
p(yourself | getting) = 0.006485849056603773
p(very | yourself) = 0.006447831184056271
p(wet | very) = 0.00580168776371308
p(lately | wet) = 0.006485849056603773
p(and | lately) = 0.006485849056603773
p(a | have) = 0.00960658737419945
p(most | a) = 0.003155479059093517
p(clumsy | most) = 0.006264236902050114
p(and | clumsy) = 0.006485849056603773
p(careless | and) = 0.002984264785675529
p(servant | careless) = 0.006485849056603773
p(girl | servant) = 0.00641025641025641
p(my | girl) = 0.006447831184056271
p(dear | my) = 0.009146341463414634
p(holmes | dear) = 0.0063364055299539165
p(said | holmes) = 0.005350194552529183
p(i | said) = 0.015768056968463885
p(this | i) = 0.0030170049369171695
p(is | this) = 0.020748987854251007
p(too | is) = 0.004610226320201173
p(much | too) = 0.01195899772209567
p(</s> | much) = 0.0063364055299539165
p(was | it) = 0.08236500341763499
p(already | was) = 0.007847533632286996
p(dusk | already) = 0.006373117033603708
p(and | dusk) = 0.006485849056603773
p(the | and) = 0.021975040694519804
p(lamps | the) = 0.002133436772692009
p(were | lamps) = 0.006485849056603773
p(just | were) = 0.005771248688352571
p(being | just) = 0.006124721603563474
p(lighted | being) = 0.006373117033603708
p(as | lighted) = 0.006485849056603773
p(we | as) = 0.00992438563327032
p(paced | we) = 0.005595116988809766
p(up | paced) = 0.0123094958968347
p(in | down) = 0.021972132904608786
p(front | in) = 0.020919067215363508
p(of | front) = 0.023482245131729664
p(briony | of) = 0.00874224478285392
p(lodge | briony) = 0.05123873873873873
p(waiting | lodge) = 0.006193693693693694
p(for | waiting) = 0.006485849056603773
p(coming | the) = 0.002133436772692009
p(of | coming) = 0.006447831184056271
p(its | of) = 0.005922165820642978
p(occupant | its) = 0.0063364055299539165
p(</s> | occupant) = 0.006485849056603773
p(left | i) = 0.0030170049369171695
p(a | house) = 0.006090808416389811
p(after | little) = 0.006159014557670772
p(this | clock) = 0.0063364055299539165
p(morning | this) = 0.01062753036437247
p(in | morning) = 0.0063364055299539165
p(character | the) = 0.002133436772692009
p(of | character) = 0.012237762237762236
p(groom | a) = 0.003155479059093517
p(out | groom) = 0.006447831184056271
p(work | of) = 0.003102086858432036
p(</s> | work) = 0.006373117033603708
p(is | <s>) = 0.005909264201296225
p(poor | the) = 0.002133436772692009
p(gentleman | poor) = 0.006485849056603773
p(much | gentleman) = 0.006228765571913929
p(hurt | much) = 0.0063364055299539165
p(she | hurt) = 0.006485849056603773
p(asked | she) = 0.004811898512685914
p(told | i) = 0.0030170049369171695
p(you | told) = 0.00641025641025641
p(that | you) = 0.007847533632286996
p(would | i) = 0.00575973669775096
p(call | would) = 0.0058949624866023575
p(he | call) = 0.006228765571913929
p(looked | he) = 0.004407051282051282
p(from | looked) = 0.006300114547537227
p(one | from) = 0.010263929618768328
p(to | one) = 0.011075949367088606
p(other | the) = 0.006012412723041117
p(of | other) = 0.006264236902050114
p(us | of) = 0.003102086858432036
p(as | us) = 0.006264236902050114
p(if | as) = 0.014650283553875236
p(uncertain | if) = 0.005771248688352571
p(which | uncertain) = 0.006485849056603773
p(to | which) = 0.005149812734082397
p(address | to) = 0.005905511811023622
p(grit | <s>) = 0.0020968356843309188
